OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x,within_park,elevation,land_cover
70305,881,1/1/2009,0.0,315,40.363983,-105.560491,True,2374.3916,52.0
149290,856,1/4/2009,0.0,345,40.363233,-105.560491,True,2370.063,52.0
150607,856,2/11/2009,0.0,200,40.362975,-105.560491,True,2367.1628,52.0
71058,881,2/22/2009,0.0,120,40.363516,-105.560491,True,2372.4934,52.0
151374,856,3/1/2009,0.0,325,40.364391,-105.560491,True,2375.4578,52.0
147583,856,11/24/2008,0.0,335,40.363591,-105.560483,True,2372.7615,52.0
151578,856,3/5/2009,0.0,35,40.363075,-105.560483,True,2369.4766,52.0
71594,881,4/2/2009,0.0,225,40.3629,-105.560483,True,2364.4912,52.0
147851,856,11/29/2008,0.0,95,40.363158,-105.560475,True,2370.063,52.0
149854,856,1/22/2009,0.0,125,40.363466,-105.560475,True,2372.4934,52.0
71104,881,2/25/2009,0.0,315,40.364058,-105.560475,True,2374.3916,52.0
146783,856,11/7/2008,0.0,315,40.363783,-105.560466,True,2373.5908,52.0
147388,856,11/19/2008,0.0,55,40.363258,-105.560466,True,2370.3838,52.0
147562,856,11/23/2008,0.0,200,40.362475,-105.560466,True,2365.4495,52.0
147610,856,11/24/2008,0.0,20,40.362416,-105.560466,True,2365.4495,52.0
149229,856,1/3/2009,0.0,160,40.364508,-105.560466,True,2376.6113,52.0
149351,856,1/6/2009,0.0,115,40.363625,-105.560466,True,2373.2612,52.0
150397,856,2/5/2009,0.0,305,40.363933,-105.560466,True,2374.0466,52.0
150812,856,2/16/2009,0.0,240,40.363333,-105.560466,True,2370.3838,52.0
151566,856,3/5/2009,0.0,45,40.36325,-105.560466,True,2370.3838,52.0
152396,856,3/22/2009,0.0,75,40.363416,-105.560466,True,2371.9111,52.0
68209,881,11/10/2008,0.0,320,40.364058,-105.560458,True,2374.0212,52.0
148384,856,12/12/2008,0.0,305,40.363725,-105.560458,True,2373.3552,52.0
149760,856,1/19/2009,0.0,70,40.363408,-105.560458,True,2371.7605,52.0
150319,856,2/3/2009,0.0,325,40.363783,-105.560458,True,2373.3552,52.0
